mode,Re(lambda),Im(lambda),|Im(lambda)|,|lambda|
0,0.0,0.0,0.0,0.0
1,-0.121849,0.0,0.0,0.121849
2,-0.203524,-0.854301,0.854301,0.87821
3,-0.203524,0.854301,0.854301,0.87821
4,-0.340303,-0.0,0.0,0.340303
5,-0.410523,-0.897884,0.897884,0.987282
6,-0.410523,0.897884,0.897884,0.987282
7,-0.607244,-1.831776,1.831776,1.929805
8,-0.607244,1.831776,1.831776,1.929805
9,-0.647298,-0.0,0.0,0.647298
10,-0.705116,-0.945083,0.945083,1.17914
11,-0.705116,0.945083,0.945083,1.17914
12,-0.874144,-1.910459,1.910459,2.100947
13,-0.874144,1.910459,1.910459,2.100947
14,-1.02935,-0.0,0.0,1.02935
15,-1.078385,-0.991596,0.991596,1.464983
16,-1.078385,0.991596,0.991596,1.464983
17,-1.14154,-2.911598,2.911598,3.127382
18,-1.14154,2.911598,2.911598,3.127382
19,-1.224108,-1.994481,1.994481,2.34017
20,-1.224108,1.994481,1.994481,2.34017
21,-1.461672,-3.019457,3.019457,3.354639
22,-1.461672,3.019457,3.019457,3.354639
23,-1.478215,0.0,0.0,1.478215
24,-1.521132,-1.03554,1.03554,1.840159
25,-1.521132,1.03554,1.03554,1.840159
26,-1.649295,-2.077845,2.077845,2.652851
27,-1.649295,2.077845,2.077845,2.652851
28,-1.782755,-4.074561,4.074561,4.447501
29,-1.782755,4.074561,4.074561,4.447501
30,-1.860823,-3.133589,3.133589,3.644453
31,-1.860823,3.133589,3.133589,3.644453
32,-2.152299,-4.208947,4.208947,4.727328
33,-2.152299,4.208947,4.208947,4.727328
34,-2.518931,-5.30884,5.30884,5.876121
35,-2.518931,5.30884,5.30884,5.876121
