mode,Re(lambda),Im(lambda),|Im(lambda)|,|lambda|
82,-5.22799,0.0,0.0,5.22799
83,-5.260384,-6.252824,6.252824,8.171257
84,-5.260384,6.252824,6.252824,8.171257
85,-5.26471,-1.096645,1.096645,5.377714
86,-5.26471,1.096645,1.096645,5.377714
87,-5.302291,-7.146788,7.146788,8.898925
88,-5.302291,7.146788,7.146788,8.898925
89,-5.374406,-2.197315,2.197315,5.806241
90,-5.374406,2.197315,2.197315,5.806241
91,-5.43729,-5.363389,5.363389,7.637412
92,-5.43729,5.363389,5.363389,7.637412
93,-5.55587,-3.305574,3.305574,6.464867
94,-5.55587,3.305574,3.305574,6.464867
95,-5.784886,-7.379157,7.379157,9.376399
96,-5.784886,7.379157,7.379157,9.376399
97,-5.807581,-4.424352,4.424352,7.300883
98,-5.807581,4.424352,4.424352,7.300883
99,-5.854366,-6.480735,6.480735,8.733472
100,-5.854366,6.480735,6.480735,8.733472
101,-6.128101,-5.556114,5.556114,8.271881
102,-6.128101,5.556114,5.556114,8.271881
103,-6.341821,-7.622766,7.622766,9.915909
104,-6.341821,7.622766,7.622766,9.915909
105,-6.372699,-8.542866,8.542866,10.657948
106,-6.372699,8.542866,8.542866,10.657948
107,-6.516191,-6.703238,6.703238,9.348484
108,-6.516191,6.703238,6.703238,9.348484
109,-6.895196,-8.79351,8.79351,11.174504
110,-6.895196,8.79351,8.79351,11.174504
111,-6.970577,-7.868364,7.868364,10.511903
112,-6.970577,7.868364,7.868364,10.511903
113,-7.489471,-9.054372,9.054372,11.750482
114,-7.489471,9.054372,9.054372,11.750482
115,-7.509096,-9.995024,9.995024,12.501481
116,-7.509096,9.995024,9.995024,12.501481
117,-8.070309,-10.263934,10.263934,13.056731
118,-8.070309,10.263934,10.263934,13.056731
119,-8.709955,-11.499027,11.499027,14.425357
120,-8.709955,11.499027,11.499027,14.425357
