mode,Re(lambda),Im(lambda),|Im(lambda)|,|lambda|
0,0.0,-0.0,0.0,0.0
1,-0.262493,-0.0,0.0,0.262493
2,-0.44716,-0.468466,0.468466,0.64762
3,-0.44716,0.468466,0.468466,0.64762
4,-0.567429,0.0,0.0,0.567429
5,-0.688478,-0.600111,0.600111,0.91331
6,-0.688478,0.600111,0.600111,0.91331
7,-0.959577,-0.0,0.0,0.959577
8,-1.036946,-1.289628,1.289628,1.65481
9,-1.036946,1.289628,1.289628,1.65481
10,-1.042978,-0.702015,0.702015,1.25723
11,-1.042978,0.702015,0.702015,1.25723
12,-1.308298,-1.435743,1.435743,1.942422
13,-1.308298,1.435743,1.435743,1.942422
14,-1.410718,0.0,0.0,1.410718
15,-1.478988,-0.783927,0.783927,1.673902
16,-1.478988,0.783927,0.783927,1.673902
17,-1.687679,-1.582121,1.582121,2.313302
18,-1.687679,1.582121,1.582121,2.313302
19,-1.729258,-2.26666,2.26666,2.850979
20,-1.729258,2.26666,2.26666,2.850979
21,-1.919691,0.0,0.0,1.919691
22,-1.978339,-0.851489,0.851489,2.153801
23,-1.978339,0.851489,0.851489,2.153801
24,-2.041814,-2.428464,2.428464,3.172765
25,-2.041814,2.428464,2.428464,3.172765
26,-2.154246,-1.713666,1.713666,2.752713
27,-2.154246,1.713666,1.713666,2.752713
28,-2.451402,-2.600255,2.600255,3.573611
29,-2.451402,2.600255,2.600255,3.573611
30,-2.482859,-0.0,0.0,2.482859
31,-2.50896,-3.359884,3.359884,4.193292
32,-2.50896,3.359884,3.359884,4.193292
33,-2.534638,-0.910356,0.910356,2.693165
34,-2.534638,0.910356,0.910356,2.693165
35,-2.689334,-1.829278,1.829278,3.252503
36,-2.689334,1.829278,1.829278,3.252503
37,-2.864923,-3.5385,3.5385,4.552885
38,-2.864923,3.5385,3.5385,4.552885
39,-2.947151,-2.764727,2.764727,4.040967
40,-2.947151,2.764727,2.764727,4.040967
41,-3.097423,0.0,0.0,3.097423
42,-3.144048,-0.963042,0.963042,3.288235
43,-3.144048,0.963042,0.963042,3.288235
44,-3.28324,-1.93302,1.93302,3.810018
45,-3.28324,1.93302,1.93302,3.810018
46,-3.309264,-3.72982,3.72982,4.98626
47,-3.309264,3.72982,3.72982,4.98626
48,-3.3675,-4.546617,4.546617,5.657896
49,-3.3675,4.546617,4.546617,5.657896
50,-3.513922,-2.915998,2.915998,4.566256
51,-3.513922,2.915998,2.915998,4.566256
52,-3.761062,-0.0,0.0,3.761062
53,-3.766694,-4.742799,4.742799,6.056577
54,-3.766694,4.742799,4.742799,6.056577
55,-3.803669,-1.011042,1.011042,3.935747
56,-3.803669,1.011042,1.011042,3.935747
57,-3.83606,-3.918758,3.918758,5.483796
58,-3.83606,3.918758,3.918758,5.483796
59,-3.930865,-2.027788,2.027788,4.423079
60,-3.930865,2.027788,2.027788,4.423079
61,-4.141301,-3.055207,3.055207,5.146325
62,-4.141301,3.055207,3.055207,5.146325
63,-4.248053,-4.951879,4.951879,6.524344
64,-4.248053,4.951879,4.951879,6.524344
65,-4.299744,-5.812273,5.812273,7.229821
66,-4.299744,5.812273,5.812273,7.229821
67,-4.433887,-4.097831,4.097831,6.037514
68,-4.433887,4.097831,4.097831,6.037514
69,-4.471814,0.0,0.0,4.471814
70,-4.511191,-1.055345,1.055345,4.63299
71,-4.511191,1.055345,1.055345,4.63299
72,-4.62878,-2.115451,2.115451,5.089276
73,-4.62878,2.115451,2.115451,5.089276
74,-4.741224,-6.026444,6.026444,7.667936
75,-4.741224,6.026444,6.026444,7.667936
76,-4.807827,-5.161239,5.161239,7.053623
77,-4.807827,5.161239,5.161239,7.053623
78,-4.823256,-3.184495,3.184495,5.779689
79,-4.823256,3.184495,3.184495,5.779689
80,-5.093156,-4.266002,4.266002,6.64372
81,-5.093156,4.266002,4.266002,6.64372
