 mode  Re(lambda)  Im(lambda)  |Im(lambda)|  |lambda|
    0    0.000000    0.000000      0.000000  0.000000
    1   -0.052495    0.000000      0.000000  0.052495
    2   -0.081872   -0.960506      0.960506  0.963989
    3   -0.081872    0.960506      0.960506  0.963989
    4   -0.155226    0.000000      0.000000  0.155226
    5   -0.183819   -0.969224      0.969224  0.986501
    6   -0.183819    0.969224      0.969224  0.986501
    7   -0.268366   -1.944802      1.944802  1.963231
    8   -0.268366    1.944802      1.944802  1.963231
    9   -0.306939    0.000000      0.000000  0.306939
   10   -0.333978   -0.981103      0.981103  1.036390
   11   -0.333978    0.981103      0.981103  1.036390
   12   -0.414285   -1.967287      1.967287  2.010435
   13   -0.414285    1.967287      1.967287  2.010435
   14   -0.505045    0.000000      0.000000  0.505045
   15   -0.530391   -0.995327      0.995327  1.127825
   16   -0.530391    0.995327      0.995327  1.127825
   17   -0.545682   -2.962900      2.962900  3.012731
   18   -0.545682    2.962900      2.962900  3.012731
   19   -0.605960   -1.994494      1.994494  2.084513
   20   -0.605960    1.994494      1.994494  2.084513
   21   -0.730417   -3.001007      3.001007  3.088617
   22   -0.730417    3.001007      3.001007  3.088617
   23   -0.746923   -0.000000      0.000000  0.746923
   24   -0.770630   -1.011111      1.011111  1.271305
   25   -0.770630    1.011111      1.011111  1.271305
   26   -0.841504   -2.025035      2.025035  2.192920
   27   -0.841504    2.025035      2.025035  2.192920
   28   -0.901788   -4.017775      4.017775  4.117734
   29   -0.901788    4.017775      4.017775  4.117734
   30   -0.958816   -3.044466      3.044466  3.191880
   31   -0.958816    3.044466      3.044466  3.191880
   32   -1.121405   -4.071855      4.071855  4.223453
   33   -1.121405    4.071855      4.071855  4.223453
   34   -1.327774   -5.109320      5.109320  5.279027
   35   -1.327774    5.109320      5.109320  5.279027
