 mode  Re(lambda)  Im(lambda)  |Im(lambda)|  |lambda|
    0    0.000000   -0.000000      0.000000  0.000000
    1   -0.061136    0.000000      0.000000  0.061136
    2   -0.105466   -0.850500      0.850500  0.857014
    3   -0.105466    0.850500      0.850500  0.857014
    4   -0.175982   -0.000000      0.000000  0.175982
    5   -0.218693   -0.865865      0.865865  0.893056
    6   -0.218693    0.865865      0.865865  0.893056
    7   -0.340487   -1.750664      1.750664  1.783468
    8   -0.340487    1.750664      1.750664  1.783468
    9   -0.344129   -0.000000      0.000000  0.344129
   10   -0.382761   -0.885232      0.885232  0.964438
   11   -0.382761    0.885232      0.885232  0.964438
   12   -0.495042   -1.784676      1.784676  1.852062
   13   -0.495042    1.784676      1.784676  1.852062
   14   -0.560823    0.000000      0.000000  0.560823
   15   -0.595488   -0.907085      0.907085  1.085084
   16   -0.595488    0.907085      0.907085  1.085084
   17   -0.672118   -2.708161      2.708161  2.790319
   18   -0.672118    2.708161      2.708161  2.790319
   19   -0.697609   -1.824213      1.824213  1.953052
   20   -0.697609    1.824213      1.824213  1.953052
   21   -0.822146    0.000000      0.000000  0.822146
   22   -0.853371   -0.929995      0.929995  1.262194
   23   -0.853371    0.929995      0.929995  1.262194
   24   -0.861949   -2.759699      2.759699  2.891176
   25   -0.861949    2.759699      2.759699  2.891176
   26   -0.946120   -1.866992      1.866992  2.093036
   27   -0.946120    1.866992      1.866992  2.093036
   28   -1.081324   -3.718739      3.718739  3.872762
   29   -1.081324    3.718739      3.718739  3.872762
   30   -1.097540   -2.817469      2.817469  3.023694
   31   -1.097540    2.817469      2.817469  3.023694
   32   -1.124771    0.000000      0.000000  1.124771
   33   -1.153138   -0.953091      0.953091  1.496032
   34   -1.153138    0.953091      0.953091  1.496032
   35   -1.237774   -1.911117      1.911117  2.276940
   36   -1.237774    1.911117      1.911117  2.276940
   37   -1.303048   -3.786532      3.786532  4.004468
   38   -1.303048    3.786532      3.786532  4.004468
   39   -1.377180   -2.878918      2.878918  3.191362
   40   -1.377180    2.878918      2.878918  3.191362
   41   -1.465938    0.000000      0.000000  1.465938
   42   -1.491953   -0.975903      0.975903  1.782781
   43   -1.491953    0.975903      0.975903  1.782781
   44   -1.557203   -4.777238      4.777238  5.024628
   45   -1.557203    4.777238      4.777238  5.024628
   46   -1.568674   -3.860869      3.860869  4.167379
   47   -1.568674    3.860869      3.860869  4.167379
   48   -1.569754   -1.955364      1.955364  2.507504
   49   -1.569754    1.955364      1.955364  2.507504
   50   -1.698544   -2.941958      2.941958  3.397083
   51   -1.698544    2.941958      2.941958  3.397083
   52   -1.808585   -4.860327      4.860327  5.185919
   53   -1.808585    4.860327      4.860327  5.185919
   54   -1.843353    0.000000      0.000000  1.843353
   55   -1.867426   -0.998200      0.998200  2.117472
   56   -1.867426    0.998200      0.998200  2.117472
   57   -1.876821   -3.939158      3.939158  4.363419
   58   -1.876821    3.939158      3.939158  4.363419
   59   -1.939509   -1.999035      1.999035  2.785289
   60   -1.939509    1.999035      1.999035  2.785289
   61   -2.059153   -3.005165      3.005165  3.642956
   62   -2.059153    3.005165      3.005165  3.642956
   63   -2.092832   -5.879288      5.879288  6.240670
   64   -2.092832    5.879288      5.879288  6.240670
   65   -2.102327   -4.950041      4.950041  5.377981
   66   -2.102327    4.950041      4.950041  5.377981
   67   -2.225519   -4.019252      4.019252  4.594270
   68   -2.225519    4.019252      4.019252  4.594270
   69   -2.255099   -0.000000      0.000000  2.255099
   70   -2.277554   -1.019887      1.019887  2.495481
   71   -2.277554    1.019887      1.019887  2.495481
   72   -2.344834   -2.041775      2.041775  3.109195
   73   -2.344834    2.041775      2.041775  3.109195
   74   -2.372215   -5.976955      5.976955  6.430505
   75   -2.372215    5.976955      5.976955  6.430505
   76   -2.437289   -5.043846      5.043846  5.601853
   77   -2.437289    5.043846      5.043846  5.601853
   78   -2.456669   -3.067677      3.067677  3.930123
   79   -2.456669    3.067677      3.067677  3.930123
   80   -2.612569   -4.099620      4.099620  4.861316
   81   -2.612569    4.099620      4.099620  4.861316
   82   -2.683427   -7.021354      7.021354  7.516661
   83   -2.683427    7.021354      7.021354  7.516661
   84   -2.692665   -6.081192      6.081192  6.650664
   85   -2.692665    6.081192      6.081192  6.650664
   86   -2.699551   -0.000000      0.000000  2.699551
   87   -2.720642   -1.040936      1.040936  2.912978
   88   -2.720642    1.040936      1.040936  2.912978
   89   -2.783858   -2.083426      2.083426  3.477144
   90   -2.783858    2.083426      2.083426  3.477144
   91   -2.811773   -5.139610      5.139610  5.858469
   92   -2.811773    5.139610      5.139610  5.858469
   93   -2.889019   -3.129024      3.129024  4.258782
   94   -2.889019    3.129024      3.129024  4.258782
   95   -2.989489   -7.133043      7.133043  7.734167
   96   -2.989489    7.133043      7.133043  7.734167
   97   -3.035821   -4.179285      4.179285  5.165523
   98   -3.035821    4.179285      4.179285  5.165523
   99   -3.053214   -6.189558      6.189558  6.901648
  100   -3.053214    6.189558      6.189558  6.901648
  101   -3.223810   -5.235759      5.235759  6.148668
  102   -3.223810    5.235759      5.235759  6.148668
  103   -3.325470   -8.200574      8.200574  8.849190
  104   -3.325470    8.200574      8.200574  8.849190
  105   -3.335524   -7.251166      7.251166  7.981550
  106   -3.335524    7.251166      7.251166  7.981550
  107   -3.452367   -6.299970      6.299970  7.183903
  108   -3.452367    6.299970      6.299970  7.183903
  109   -3.657105   -8.325834      8.325834  9.093620
  110   -3.657105    8.325834      8.325834  9.093620
  111   -3.720688   -7.373383      7.373383  8.258952
  112   -3.720688    7.373383      7.373383  8.258952
  113   -4.016249   -9.414599      9.414599 10.235474
  114   -4.016249    9.414599      9.414599 10.235474
  115   -4.027783   -8.457348      8.457348  9.367485
  116   -4.027783    8.457348      8.457348  9.367485
  117   -4.372504   -9.553053      9.553053 10.506170
  118   -4.372504    9.553053      9.553053 10.506170
  119   -4.753591  -10.661481     10.661481 11.673209
  120   -4.753591   10.661481     10.661481 11.673209
