mode,Re(lambda),Im(lambda),|Im(lambda)|,|lambda|
0,0.0,-0.0,0.0,0.0
1,-0.386509,0.0,0.0,0.386509
2,-0.62307,-0.570371,0.570371,0.844713
3,-0.62307,0.570371,0.570371,0.844713
4,-0.844782,-0.0,0.0,0.844782
5,-0.995774,-0.749954,0.749954,1.246594
6,-0.995774,0.749954,0.749954,1.246594
7,-1.42491,-1.607515,1.607515,2.148133
8,-1.42491,1.607515,1.607515,2.148133
9,-1.42754,0.0,0.0,1.42754
10,-1.536906,-0.883885,0.883885,1.772945
11,-1.536906,0.883885,0.883885,1.772945
12,-1.862334,-1.812349,1.812349,2.598633
13,-1.862334,1.812349,1.812349,2.598633
14,-2.105091,-0.0,0.0,2.105091
15,-2.195007,-0.989694,0.989694,2.40781
16,-2.195007,0.989694,0.989694,2.40781
17,-2.372509,-2.837123,2.837123,3.698387
18,-2.372509,2.837123,2.837123,3.698387
19,-2.458326,-2.006196,2.006196,3.173041
20,-2.458326,2.006196,2.006196,3.173041
21,-2.872843,-0.0,0.0,2.872843
22,-2.885166,-3.0719,3.0719,4.21435
23,-2.885166,3.0719,3.0719,4.21435
24,-2.950069,-1.078524,1.078524,3.141038
25,-2.950069,1.078524,1.078524,3.141038
26,-3.176528,-2.176316,2.176316,3.850543
27,-3.176528,2.176316,2.176316,3.850543
28,-3.454099,-4.208853,4.208853,5.444745
29,-3.454099,4.208853,4.208853,5.444745
30,-3.542975,-3.305363,3.305363,4.84542
31,-3.542975,3.305363,3.305363,4.84542
32,-4.041746,-4.475368,4.475368,6.03031
33,-4.041746,4.475368,4.475368,6.03031
34,-4.662199,-5.695611,5.695611,7.360441
35,-4.662199,5.695611,5.695611,7.360441
